name,province,country,tags,fun_fact
鞍山,辽宁省,中国,钢铁|千山|玉佛,鞍山有钢铁和千山。
抚顺,辽宁省,中国,煤都|雷锋|琥珀,抚顺是煤都，出产琥珀。
本溪,辽宁省,中国,水洞|枫叶|钢铁,本溪有水洞和红枫叶。
丹东,辽宁省,中国,鸭绿江|草莓|边境,丹东在鸭绿江边，和朝鲜隔江相望。
锦州,辽宁省,中国,烧烤|笔架山|战役,锦州烧烤很有名。
营口,辽宁省,中国,港口|海鲜|温泉,营口是港口城市，有海鲜。
阜新,辽宁省,中国,玛瑙|煤电|篮球,阜新出产玛瑙。
辽阳,辽宁省,中国,白塔|石化|历史,辽阳有白塔和古老历史。
盘锦,辽宁省,中国,红海滩|大米|河蟹,盘锦有红海滩和河蟹。
铁岭,辽宁省,中国,小品|二人转|榛子,铁岭是小品之乡。
朝阳,辽宁省,中国,化石|鸟化石|小米,朝阳发现很多恐龙鸟化石。
葫芦岛,辽宁省,中国,海滨|泳装|古城,葫芦岛有兴城古城和海滨。
长春,吉林省,中国,汽车|电影|冰雪,长春造汽车，有电影城。
吉林,吉林省,中国,雾凇|松花湖|滑雪,吉林市有雾凇奇观。
四平,吉林省,中国,玉米|战役|农机,四平在松辽平原，产玉米。
辽源,吉林省,中国,梅花鹿|袜子|琵琶,辽源有梅花鹿和袜子。
通化,吉林省,中国,葡萄酒|人参|滑雪,通化出产葡萄酒和人参。
白山,吉林省,中国,长白山|人参|矿泉水,白山在长白山附近。
松原,吉林省,中国,石油|查干湖|冬捕,松原查干湖冬天捕鱼很有名。
白城,吉林省,中国,湿地|丹顶鹤|风电,白城有湿地和丹顶鹤。
哈尔滨,黑龙江省,中国,冰城|冰雕|红肠,哈尔滨冬天有冰雪大世界。
齐齐哈尔,黑龙江省,中国,丹顶鹤|烤肉|冰球,齐齐哈尔有丹顶鹤和烤肉。
鸡西,黑龙江省,中国,煤炭|石墨|冷面,鸡西有煤炭和石墨。
鹤岗,黑龙江省,中国,煤炭|森林|界江,鹤岗是煤城，靠近黑龙江。
双鸭山,黑龙江省,中国,煤炭|湿地|北大荒,双鸭山有湿地和煤矿。
大庆,黑龙江省,中国,石油|铁人|湿地,大庆是石油城，有铁人王进喜。
伊春,黑龙江省,中国,森林|红松|蓝莓,伊春是林都，有很多红松。
佳木斯,黑龙江省,中国,大米|东极|湿地,佳木斯在祖国东极，产大米。
七台河,黑龙江省,中国,短道速滑|冠军|煤炭,七台河是短道速滑冠军之城。
牡丹江,黑龙江省,中国,雪乡|镜泊湖|朝鲜族,牡丹江有雪乡和镜泊湖。
黑河,黑龙江省,中国,边境|火山|大豆,黑河和俄罗斯隔江相望。
绥化,黑龙江省,中国,农业|玉米|大豆,绥化是农业大市。
南京,江苏省,中国,古都|夫子庙|梧桐,南京是六朝古都，有夫子庙。
无锡,江苏省,中国,太湖|鼋头渚|小笼包,无锡在太湖边，有鼋头渚。
徐州,江苏省,中国,汉文化|云龙湖|烧烤,徐州有汉文化和云龙湖。
常州,江苏省,中国,恐龙园|梳篦|大麻糕,常州有恐龙园。
苏州,江苏省,中国,园林|昆曲|大闸蟹,苏州园林很有名，还有大闸蟹。
南通,江苏省,中国,濠河|家纺|教育,南通有濠河，家纺很有名。
连云港,江苏省,中国,花果山|水晶|港口,连云港有花果山，是西游记故事地。
淮安,江苏省,中国,周恩来|淮扬菜|运河,淮安是周恩来故乡，有淮扬菜。
盐城,江苏省,中国,丹顶鹤|麋鹿|湿地,盐城有丹顶鹤和麋鹿。
扬州,江苏省,中国,瘦西湖|炒饭|运河,扬州有瘦西湖和扬州炒饭。
镇江,江苏省,中国,金山|香醋|锅盖面,镇江有金山寺和香醋。
泰州,江苏省,中国,早茶|溱潼|医药,泰州早茶很有名。
宿迁,江苏省,中国,项羽|白酒|花木,宿迁是项羽故乡，出产白酒。
杭州,浙江省,中国,西湖|龙井|电商,杭州有西湖和龙井茶。
宁波,浙江省,中国,港口|汤圆|天一阁,宁波是港口城市，汤圆好吃。
温州,浙江省,中国,商帮|雁荡山|鱼丸,温州人会做生意，有雁荡山。
嘉兴,浙江省,中国,南湖|粽子|乌镇,嘉兴有南湖和粽子。
湖州,浙江省,中国,太湖|毛笔|丝绸,湖州出产湖笔和丝绸。
绍兴,浙江省,中国,黄酒|鲁迅|乌篷船,绍兴有鲁迅故里和黄酒。
金华,浙江省,中国,火腿|义乌|横店,金华火腿和义乌小商品很有名。
衢州,浙江省,中国,南孔|柑橘|龙游石窟,衢州有南孔庙和龙游石窟。
舟山,浙江省,中国,海鲜|普陀山|海岛,舟山是海岛城市，有普陀山。
台州,浙江省,中国,模具|柑橘|天台山,台州有模具和天台山。
丽水,浙江省,中国,生态|青瓷|梯田,丽水山清水秀，有梯田。
合肥,安徽省,中国,科技|包公|龙虾,合肥是安徽省会，有包公祠。
芜湖,安徽省,中国,方特|奇瑞|瓜子,芜湖有方特乐园和奇瑞汽车。
蚌埠,安徽省,中国,铁路|烧饼夹里脊|淮河,蚌埠在淮河边上，铁路发达。
淮南,安徽省,中国,豆腐|煤炭|牛肉汤,淮南是豆腐发源地。
马鞍山,安徽省,中国,钢铁|李白|采石矶,马鞍山有李白和钢铁。
淮北,安徽省,中国,煤炭|口子酒|石榴,淮北有煤炭和口子酒。
铜陵,安徽省,中国,铜都|生姜|青铜,铜陵是铜都。
安庆,安徽省,中国,黄梅戏|振风塔|江毛水饺,安庆有黄梅戏。
黄山,安徽省,中国,黄山|徽派|毛豆腐,黄山有迎客松和徽派建筑。
滁州,安徽省,中国,琅琊山|醉翁亭|滁菊,滁州有醉翁亭。
阜阳,安徽省,中国,格拉条|剪纸|黄牛,阜阳有格拉条和剪纸。
宿州,安徽省,中国,符离集烧鸡|砀山梨|书画,宿州有符离集烧鸡和砀山梨。
六安,安徽省,中国,瓜片|将军|板栗,六安有六安瓜片茶。
亳州,安徽省,中国,药材|曹操|古井贡酒,亳州是药材之乡，有曹操。
池州,安徽省,中国,九华山|杏花村|生态,池州有九华山。
宣城,安徽省,中国,宣纸|文房四宝|徽菜,宣城出产宣纸。
福州,福建省,中国,榕城|鱼丸|三坊七巷,福州有榕树和三坊七巷。
厦门,福建省,中国,鼓浪屿|沙茶面|大海,厦门有鼓浪屿和沙滩。
莆田,福建省,中国,妈祖|鞋都|荔枝,莆田有妈祖庙和鞋业。
三明,福建省,中国,沙县小吃|林业|丹霞,三明有沙县小吃。
泉州,福建省,中国,闽南|海上丝路|铁观音,泉州是海上丝绸之路起点。
漳州,福建省,中国,水仙|土楼|水果,漳州有水仙花和土楼。
南平,福建省,中国,武夷山|岩茶|竹海,南平有武夷山和岩茶。
龙岩,福建省,中国,客家|土楼|红军,龙岩有客家土楼。
宁德,福建省,中国,大黄鱼|白茶|太姥山,宁德有大黄鱼和白茶。
南昌,江西省,中国,滕王阁|米粉|八一,南昌有滕王阁和八一广场。
景德镇,江西省,中国,瓷器|陶瓷|古窑,景德镇瓷器很有名。
萍乡,江西省,中国,煤炭|花炮|武功山,萍乡有武功山和花炮。
九江,江西省,中国,庐山|鄱阳湖|浔阳,九江有庐山和鄱阳湖。
新余,江西省,中国,钢铁|仙女湖|光伏,新余有仙女湖。
鹰潭,江西省,中国,龙虎山|铜都|道教,鹰潭有龙虎山。
赣州,江西省,中国,脐橙|客家|稀土,赣州有脐橙和客家围屋。
吉安,江西省,中国,井冈山|庐陵|米粉,吉安有井冈山。
宜春,江西省,中国,温泉|月亮|樟树,宜春有温泉和月亮文化。
抚州,江西省,中国,才子|戏曲|蜜橘,抚州是才子之乡。
上饶,江西省,中国,婺源|三清山|葛粉,上饶有婺源和三清山。
济南,山东省,中国,泉水|趵突泉|大明湖,济南有好多泉水，叫泉城。
青岛,山东省,中国,啤酒|大海|帆船,青岛有大海和啤酒。
淄博,山东省,中国,烧烤|陶瓷|齐国,淄博烧烤很有名。
枣庄,山东省,中国,石榴|铁道游击队|辣子鸡,枣庄有石榴和辣子鸡。
东营,山东省,中国,石油|黄河口|湿地,东营在黄河入海口，有石油。
烟台,山东省,中国,苹果|海鲜|蓬莱,烟台苹果和海鲜很有名。
潍坊,山东省,中国,风筝|萝卜|年画,潍坊风筝很有名。
济宁,山东省,中国,孔孟|运河|微山湖,济宁有孔孟文化。
泰安,山东省,中国,泰山|煎饼|肥桃,泰安有泰山。
威海,山东省,中国,大海|海鲜|甲午,威海是海边城市。
日照,山东省,中国,阳光|海岸|绿茶,日照有阳光海岸和绿茶。
临沂,山东省,中国,物流|沂蒙|糁汤,临沂是物流城。
德州,山东省,中国,扒鸡|太阳能|枣,德州扒鸡很有名。
聊城,山东省,中国,东阿阿胶|运河|葫芦,聊城有东阿阿胶。
滨州,山东省,中国,冬枣|家纺|黄河,滨州有冬枣。
菏泽,山东省,中国,牡丹|武术|羊肉汤,菏泽牡丹很有名。
郑州,河南省,中国,铁路|烩面|少林,郑州是铁路枢纽，有烩面。
开封,河南省,中国,古都|灌汤包|清明上河园,开封是古都，有灌汤包。
洛阳,河南省,中国,牡丹|龙门石窟|水席,洛阳有龙门石窟和牡丹。
平顶山,河南省,中国,煤炭|汝瓷|魔术,平顶山有煤炭和汝瓷。
安阳,河南省,中国,殷墟|甲骨文|红旗渠,安阳有甲骨文和殷墟。
鹤壁,河南省,中国,淇河|煤炭|樱花,鹤壁有淇河和樱花。
新乡,河南省,中国,太行|大米|电池,新乡有太行山和原阳大米。
焦作,河南省,中国,云台山|太极拳|怀药,焦作有云台山和太极拳。
濮阳,河南省,中国,石油|杂技|龙乡,濮阳有石油和杂技。
许昌,河南省,中国,三国|假发|钧瓷,许昌有三国文化和钧瓷。
漯河,河南省,中国,食品|双汇|火腿肠,漯河有双汇火腿肠。
三门峡,河南省,中国,黄河|天鹅|函谷关,三门峡有天鹅和函谷关。
南阳,河南省,中国,玉器|张仲景|艾草,南阳有玉器和张仲景。
商丘,河南省,中国,古城|火文化|酥梨,商丘有古城和酥梨。
信阳,河南省,中国,毛尖|炖菜|红色,信阳毛尖茶很有名。
周口,河南省,中国,胡辣汤|人口|港城,周口有胡辣汤。
驻马店,河南省,中国,芝麻|小麦|嵖岈山,驻马店有芝麻和小麦。
武汉,湖北省,中国,热干面|黄鹤楼|长江,武汉有黄鹤楼和长江大桥。
黄石,湖北省,中国,矿冶|磁湖|港饼,黄石有矿冶和磁湖。
十堰,湖北省,中国,汽车|武当山|丹江口,十堰有武当山和汽车。
宜昌,湖北省,中国,三峡|水电|柑橘,宜昌有三峡大坝。
襄阳,湖北省,中国,古城|三国|牛肉面,襄阳有古城和牛肉面。
鄂州,湖北省,中国,武昌鱼|冶金|梁子湖,鄂州有武昌鱼。
荆门,湖北省,中国,油菜|荆楚|明显陵,荆门有油菜花和明显陵。
孝感,湖北省,中国,米酒|麻糖|孝文化,孝感有米酒和麻糖。
荆州,湖北省,中国,古城|楚文化|鱼糕,荆州有古城和楚文化。
黄冈,湖北省,中国,教育|东坡|黄梅戏,黄冈教育很有名。
咸宁,湖北省,中国,温泉|桂花|赤壁,咸宁有温泉和桂花。
随州,湖北省,中国,编钟|炎帝|香菇,随州有编钟和炎帝。
长沙,湖南省,中国,湘江|臭豆腐|岳麓山,长沙有岳麓山和臭豆腐。
株洲,湖南省,中国,铁路|服饰|陶瓷,株洲是铁路枢纽。
湘潭,湖南省,中国,毛泽东|湘莲|槟榔,湘潭是毛泽东故乡。
衡阳,湖南省,中国,衡山|鱼粉|雁城,衡阳有衡山。
邵阳,湖南省,中国,崀山|猪血丸子|五金,邵阳有崀山。
岳阳,湖南省,中国,岳阳楼|洞庭湖|小龙虾,岳阳有岳阳楼和洞庭湖。
常德,湖南省,中国,米粉|柳叶湖|桃花源,常德有桃花源。
张家界,湖南省,中国,天门山|森林公园|玻璃桥,张家界有天门山和玻璃桥。
益阳,湖南省,中国,黑茶|洞庭湖|竹凉席,益阳有黑茶。
郴州,湖南省,中国,东江|温泉|有色金属,郴州有东江湖。
永州,湖南省,中国,潇湘|异蛇|血鸭,永州有潇湘文化。
怀化,湖南省,中国,侗族|芷江|冰糖橙,怀化有侗族村寨。
娄底,湖南省,中国,煤炭|钢铁|曾国藩,娄底有曾国藩故里。
广州,广东省,中国,早茶|珠江|骑楼,广州有早茶和珠江。
韶关,广东省,中国,丹霞山|客家|瑶族,韶关有丹霞山。
深圳,广东省,中国,科技|移民|大海,深圳是科技城市，发展很快。
珠海,广东省,中国,大海|航展|情侣路,珠海有航展和海边。
汕头,广东省,中国,潮汕|牛肉丸|侨乡,汕头有牛肉丸。
佛山,广东省,中国,武术|陶瓷|家电,佛山有武术和陶瓷。
江门,广东省,中国,侨乡|陈皮|碉楼,江门有陈皮和碉楼。
湛江,广东省,中国,海鲜|港口|菠萝,湛江有海鲜和菠萝。
茂名,广东省,中国,石油|荔枝|水果,茂名有荔枝和石油。
肇庆,广东省,中国,七星岩|端砚|裹蒸粽,肇庆有七星岩和端砚。
惠州,广东省,中国,西湖|巽寮湾|电子,惠州有西湖和海边。
梅州,广东省,中国,客家|围龙屋|柚子,梅州是客家之乡。
汕尾,广东省,中国,海鲜|红色|渔歌,汕尾有海鲜和渔歌。
河源,广东省,中国,万绿湖|客家|恐龙,河源有万绿湖和恐龙蛋。
阳江,广东省,中国,风筝|海鲜|五金,阳江有风筝和海鲜。
清远,广东省,中国,漂流|清远鸡|温泉,清远有漂流和清远鸡。
东莞,广东省,中国,制造|篮球|荔枝,东莞是制造之城。
中山,广东省,中国,孙中山|灯饰|家电,中山是孙中山故乡。
潮州,广东省,中国,潮州菜|工夫茶|陶瓷,潮州有工夫茶和陶瓷。
揭阳,广东省,中国,玉器|五金|潮汕,揭阳有玉器。
云浮,广东省,中国,石材|硫矿|六祖,云浮有石材。
南宁,广西壮族自治区,中国,绿城|老友粉|东盟,南宁是广西首府，叫绿城。
柳州,广西壮族自治区,中国,螺蛳粉|汽车|工业,柳州有螺蛳粉和汽车。
桂林,广西壮族自治区,中国,山水|漓江|米粉,桂林山水甲天下。
梧州,广西壮族自治区,中国,六堡茶|龟苓膏|骑楼,梧州有六堡茶。
北海,广西壮族自治区,中国,银滩|海鲜|珍珠,北海有银滩和珍珠。
防城港,广西壮族自治区,中国,港口|金花茶|边境,防城港是海边港口。
钦州,广西壮族自治区,中国,坭兴陶|荔枝|海豚,钦州有白海豚。
贵港,广西壮族自治区,中国,荷花|甘蔗|内河,贵港有荷花。
玉林,广西壮族自治区,中国,荔枝|药材|陶瓷,玉林有荔枝。
百色,广西壮族自治区,中国,芒果|红色|铝土,百色有芒果和红色故事。
贺州,广西壮族自治区,中国,姑婆山|脐橙|客家,贺州有姑婆山。
河池,广西壮族自治区,中国,长寿|巴马|铜鼓,河池有巴马长寿村。
来宾,广西壮族自治区,中国,甘蔗|忻城|壮族,来宾有甘蔗。
崇左,广西壮族自治区,中国,甘蔗|德天瀑布|边境,崇左有德天瀑布。
海口,海南省,中国,椰城|骑楼|海鲜,海口是海南省会，有椰子树。
三亚,海南省,中国,大海|天涯海角|潜水,三亚有大海和天涯海角。
三沙,海南省,中国,海岛|南海|珊瑚,三沙在南海，有很多小岛。
儋州,海南省,中国,东坡|调声|橡胶,儋州有东坡书院。
成都,四川省,中国,火锅|熊猫|茶馆,成都有火锅、熊猫和茶馆。
自贡,四川省,中国,盐都|恐龙|灯会,自贡有恐龙化石和灯会。
攀枝花,四川省,中国,钢铁|芒果|阳光,攀枝花有钢铁和芒果。
泸州,四川省,中国,白酒|老窖|荔枝,泸州有老窖酒。
德阳,四川省,中国,重装|三星堆|年画,德阳有三星堆。
绵阳,四川省,中国,科技城|米粉|李白,绵阳是科技城。
广元,四川省,中国,剑门关|女皇|核桃,广元有剑门关。
遂宁,四川省,中国,观音|死海|荷花,遂宁有死海和荷花。
内江,四川省,中国,甜城|牛肉面|蔗糖,内江叫甜城。
乐山,四川省,中国,大佛|峨眉山|跷脚牛肉,乐山有乐山大佛和峨眉山。
南充,四川省,中国,丝绸|柑橘|三国,南充有丝绸和柑橘。
眉山,四川省,中国,东坡|泡菜|竹编,眉山是苏东坡故乡。
宜宾,四川省,中国,五粮液|燃面|竹海,宜宾有五粮液和竹海。
广安,四川省,中国,邓小平|红色|柚子,广安是邓小平故乡。
达州,四川省,中国,天然气|灯影牛肉|巴人,达州有天然气。
雅安,四川省,中国,熊猫|雨城|藏茶,雅安有熊猫和雨城。
巴中,四川省,中国,红色|银耳|核桃,巴中有银耳。
资阳,四川省,中国,柠檬|机车|石刻,资阳有柠檬。
贵阳,贵州省,中国,避暑|大数据|酸汤,贵阳夏天很凉快，有大数据。
六盘水,贵州省,中国,凉都|煤炭|烙锅,六盘水叫凉都。
遵义,贵州省,中国,会议|茅台|辣椒,遵义有茅台酒和会议。
安顺,贵州省,中国,黄果树|瀑布|蜡染,安顺有黄果树瀑布。
毕节,贵州省,中国,杜鹃|草海|马铃薯,毕节有杜鹃花和草海。
铜仁,贵州省,中国,梵净山|朱砂|温泉,铜仁有梵净山。
昆明,云南省,中国,春城|滇池|鲜花,昆明叫春城，鲜花很多。
曲靖,云南省,中国,珠江源|火腿|油菜,曲靖有珠江源和火腿。
玉溪,云南省,中国,烟草|抚仙湖|聂耳,玉溪有抚仙湖。
保山,云南省,中国,咖啡|玉石|火山,保山有咖啡和火山。
昭通,云南省,中国,苹果|天麻|大山包,昭通有苹果和黑颈鹤。
丽江,云南省,中国,古城|玉龙雪山|纳西,丽江有古城和玉龙雪山。
普洱,云南省,中国,普洱茶|咖啡|森林,普洱有普洱茶。
临沧,云南省,中国,普洱茶|坚果|佤族,临沧有普洱茶。
拉萨,西藏自治区,中国,布达拉宫|高原|甜茶,拉萨有布达拉宫和雪山。
日喀则,西藏自治区,中国,珠峰|青稞|边境,日喀则有珠穆朗玛峰。
昌都,西藏自治区,中国,康巴|澜沧江|高山,昌都有澜沧江和高山。
林芝,西藏自治区,中国,桃花|雅鲁藏布|森林,林芝有桃花和雅鲁藏布大峡谷。
山南,西藏自治区,中国,藏文化|羊湖|青稞,山南有羊卓雍措。
那曲,西藏自治区,中国,草原|牦牛|虫草,那曲有草原和牦牛。
西安,陕西省,中国,兵马俑|肉夹馍|城墙,西安有兵马俑和古城墙。
铜川,陕西省,中国,煤炭|陶瓷|药王山,铜川有药王山。
宝鸡,陕西省,中国,青铜器|擀面皮|太白山,宝鸡有青铜器和太白山。
咸阳,陕西省,中国,秦都|苹果|乾陵,咸阳是秦朝都城。
渭南,陕西省,中国,华山|柿子|花椒,渭南有华山。
延安,陕西省,中国,红色|宝塔山|苹果,延安有宝塔山和苹果。
汉中,陕西省,中国,油菜花|面皮|朱鹮,汉中有油菜花和朱鹮。
榆林,陕西省,中国,煤炭|沙漠|羊肉,榆林有煤炭和沙漠。
安康,陕西省,中国,富硒|汉江|茶叶,安康有富硒茶。
商洛,陕西省,中国,秦岭|核桃|中药材,商洛在秦岭，有核桃。
兰州,甘肃省,中国,拉面|黄河|百合,兰州有牛肉面和黄河。
嘉峪关,甘肃省,中国,长城|钢铁|戈壁,嘉峪关有长城关城。
金昌,甘肃省,中国,镍都|骊靬|沙漠,金昌是镍都。
白银,甘肃省,中国,铜城|黄河|陶瓷,白银是铜城。
天水,甘肃省,中国,麦积山|麻辣烫|伏羲,天水有麦积山和麻辣烫。
武威,甘肃省,中国,马踏飞燕|葡萄酒|沙漠,武威有马踏飞燕。
张掖,甘肃省,中国,丹霞|马蹄寺|玉米,张掖有七彩丹霞。
平凉,甘肃省,中国,崆峒山|牛肉|苹果,平凉有崆峒山。
酒泉,甘肃省,中国,航天|敦煌|卫星,酒泉有卫星发射中心。
庆阳,甘肃省,中国,石油|香包|苹果,庆阳有石油和香包。
定西,甘肃省,中国,马铃薯|中药材|黄土,定西有马铃薯。
陇南,甘肃省,中国,花椒|橄榄|核桃,陇南有花椒和橄榄。
西宁,青海省,中国,高原|塔尔寺|酸奶,西宁是高原城市，有塔尔寺。
海东,青海省,中国,拉面|青稞|黄河,海东有拉面和青稞。
银川,宁夏回族自治区,中国,西夏|枸杞|葡萄酒,银川有西夏王陵和枸杞。
石嘴山,宁夏回族自治区,中国,煤炭|沙湖|工业,石嘴山有沙湖。
吴忠,宁夏回族自治区,中国,清真|滩羊|枸杞,吴忠有滩羊。
固原,宁夏回族自治区,中国,六盘山|马铃薯|红色,固原有六盘山。
中卫,宁夏回族自治区,中国,沙坡头|枸杞|沙漠,中卫有沙坡头和沙漠。
乌鲁木齐,新疆维吾尔自治区,中国,天山|大巴扎|羊肉串,乌鲁木齐有天山和大巴扎。
克拉玛依,新疆维吾尔自治区,中国,石油|魔鬼城|戈壁,克拉玛依有石油和魔鬼城。
吐鲁番,新疆维吾尔自治区,中国,葡萄|火焰山|坎儿井,吐鲁番有葡萄和火焰山。
哈密,新疆维吾尔自治区,中国,哈密瓜|魔鬼城|绿洲,哈密有哈密瓜。
香港,香港特别行政区,中国,维港|金融|茶餐厅,香港有维多利亚港和茶餐厅。
澳门,澳门特别行政区,中国,赌场|葡挞|大三巴,澳门有葡挞和大三巴牌坊。
台北,台湾省,中国,101|夜市|温泉,台北有101大楼和夜市。
新北,台湾省,中国,九份|淡水|海岸,新北有九份和淡水。
桃园,台湾省,中国,机场|客家|棒球,桃园有机场和棒球。
台中,台湾省,中国,逢甲|太阳饼|公园,台中有逢甲夜市和太阳饼。
台南,台湾省,中国,古都|小吃|安平,台南是古都，小吃很多。
高雄,台湾省,中国,港口|爱河|夜市,高雄有港口和爱河。
基隆,台湾省,中国,港口|庙口|海鲜,基隆有庙口夜市和海鲜。
新竹,台湾省,中国,科技|米粉|贡丸,新竹有科技园和米粉。
嘉义,台湾省,中国,阿里山|火鸡肉饭|农业,嘉义有阿里山。
