sentence,remark
长期来看，父母对一个孩子的控制终将失败。如果把时间维度拉长，你会发现孩子最终会选择他自己想过的人生。,
有爱的家庭里没有责备。不需要通过责备去“锻炼”自己的孩子。 这非但不是打预防针，而且会对孩子的性格有深远的负面影响。,
实验人员邀请两组学生在不同的房间玩立体积木拼图，同时每个房间都放有娱乐杂志。随后，实验人员告诉A组：如果拼图正确，会有金钱奖励；而B组没有告知，也没有奖励。一段时间后，实验人员分别告诉两组同学：实验时间已到，我将会离开房间10分钟录入数据，你们可以自由活动。等研究员离开房间后，A组同学往往会放下积木拼图跑去翻杂志，而B组则会继续玩。（外部奖励会削弱行为动机）,
孩子会遇到挫折，比如考试没考好，或者今天迟到了，很多家长会迫不及待地批评他。这种方式，其实是破坏自主的。爸爸妈妈只需要跟他说一句话：“嗯，今天你做错了，那以后准备怎么办呢？”孩子自己会提出很多反思的东西，爸爸妈妈只需要点点头就可以了。真正好的教育是不费力地去鼓励孩子反思。（鼓励反思）,
“孩子，你觉得是不是应该好好练练字了?” 这样的反问丝毫没有作用。建议跟孩子一起探讨：这个暑假到底做什么安排?当孩子做出承诺之后，家长可以参与监督，因为这是他自己的承诺。,
一个人之所以能够持续热情开心地去做一件事情，一定和他获得的正面积极的体验有关。,
那些自主的孩子特别有动力的孩子，成绩很好、不需要妈妈管着的孩子，几乎都是获得了父母的尊重，能够自主行使意志的孩子。,
如何去创造自主呢?最重要的是提供选择。https://mp.weixin.qq.com/s/S3X0i1E3QQ4Pm5b-qnYO8A,
外部奖励如金钱等，会削弱一个人的行为动机。https://mp.weixin.qq.com/s/S3X0i1E3QQ4Pm5b-qnYO8A,
父母对孩子的控制越多，孩子的自驱力就越弱。,
表扬是自上而下的，你在表扬一个人的时候，就意味着你的地位比他高，你比他更具有权威。如果不表扬，该怎么说？说一点自己的感受就可以了。比如我看完我儿子的足球赛，我觉得他踢得很好，我就会说：爸爸今天特别开心，我看得很兴奋，我都完全投入进去了。,
自学并非单纯的自律和长时间专注做题，而是类似创业，包含规划、寻找资源、执行等多环节，需要可遵循的操作方法，而非仅依赖抽象的学习态度。https://mp.weixin.qq.com/s/ZjiGQ1z4APgPRx6fqfjW8A ,
重复对方上一句的句尾，有缓和与积极聆听的效果。这种方式在心理学中被称为“趋同行为”，通过模仿对方的语言风格，建立起一种和谐的交流氛围。🍐甲：“我最近工作压力很大。” 乙：“压力很大？”甲：“是的，项目截止日期临近，我每天都加班到很晚。”,
在孩子能体验到一件事本身的美感之前，不应该谈论水平问题。尤其是不应该谈论差距问题。一个人产生动力的根本原因是感受到“我可以”，而不是“我还不行”。,
我自己在清华读本科的那几年，也忙到疯，每天也为了及格和学分绩而拼命，从早到晚上课自习，也没有时间完成大作品。可恰恰是那几年，是我写日常记录和随笔最多的几年，日记本子写了厚厚一摞，学习越忙我越需要随时带着本子写。,
沉醉是唯一的天赋指标。孩子能做到的投入程度，才是ta天赋的真正体现。,
写作时不要纠结开头，坚持写完初稿，再逐步修改。,
“写完一个东西很重要”，哪怕是初稿“写得再烂”，坚持完成才能带来成长。,
如果你想学习一些新的学科，不妨进行小说创作，以小说创作作为自己学习的一个动力。https://www.tsinghua.org.cn/info/1955/15820.htm ,
先写出内心真实感受，再考虑技巧，避免“模仿他人”或“说漂亮话”。,
写作应以问题为导向构建故事。每个故事都围绕一个“大问题”展开，故事结构理应由这个问题驱动而非随意设定。,
把写作当作动力去学习新学科，不仅更有效率，还能打开理解其他领域的大门。,
大人发泄情绪对于孩子是完全没有任何激励效果的，就像是告诉孩子“我不欣赏你、不信任你”。这个时候孩子可能真的会想“我就是这么差”或者“我已经这么差了，我还努力干嘛？”所以当父母发自真心不认可孩子时，孩子肯定是非常非常难过的。,
有一个孩子上学天天迟到，每次要出发的时候，磨磨蹭蹭的，他妈妈急得不得了。一个心理专家跟这个孩子聊天，问你为什么每次都要迟到？而且迟到你也不着急？那个孩子对心理学专家说：“你放心，只要我妈在我绝对不会迟到，她都替我操心的。”,
泥巴具有独特的质地、温度和气味，孩子在玩泥巴时，通过触摸、挤压、捏造等动作，能够刺激触觉、嗅觉和视觉等多种感官，从而提升感官处理能力和认知功能。,
泥巴的可塑性使孩子能够自由地创造各种形状，如“泥巴厨房”或“泥巴城堡”，这不仅满足了他们的想象力，也锻炼了创造力和问题解决能力。,
接触泥土中的微生物有助于孩子免疫系统的发育，减少过敏和自身免疫性疾病的风险。,
玩泥巴的过程中，孩子需要使用手部和身体的多个部位，有助于发展精细运动技能和身体协调性。,
玩泥巴是一种天然的情绪释放方式，能够帮助孩子缓解压力、调节情绪，提升正向情绪。,
人类天生有“亲生物性”（Biophilia），孩子尤其渴望接触泥土、水、植物。,
玩泥巴=在做非正式科学实验：“为什么湿泥能捏成型，干了就裂了？”“水加多了会变稀，加少了又太硬？”“蚂蚁为什么从泥里钻出来？”这是物理、化学、生物的启蒙课，在玩中学。,
男孩手上拿着银丝糖，哇哇大哭。妈妈不懂孩子这是怎么了。妈妈一番好意给他买糖，却成了这番局面，让母亲郁闷。安慰了一阵子，还不见孩子平静，一股火气立时升上来，妈妈不耐烦地骂：“你不是说想吃吗？现在又不要吃了，不吃就不要吃啦......”妈妈将银丝糖抢走了。孩子的哭声有点儿急促，夹杂着吼声：“我要吃！”妈妈很生气地说：“这样也不要！那样也不要！你到底要怎么样......”摊位上制糖的师傅一边利落地切糖，一边以说教的口吻对男孩说：“弟弟要乖喔！小孩子要听话......”男孩哭得更急了，还气得跺了好几次脚。妈妈很无奈，在旁边对着孩子吼：“你这么难伺候，要是再闹下去，妈妈就不理你了......” https://mp.weixin.qq.com/s/Rxr4nZORJ4ef8TMg7pHQyg,
不要假设你“知道”原因，而是用提问探索真实想法。❌ “你肯定是因为不想写作业才拖延！” ✅ “我注意到你一直在玩笔，是不是写作业让你觉得有点难？还是不太想开始？”,
用开放式问题激发孩子思考，而不是直接给答案。❌ “快去刷牙！”✅ “你觉得我们什么时候开始刷牙比较合适？是现在，还是五分钟后？”,
问题让孩子参与决策，增强责任感和自我觉察。❌ “你不该打弟弟！”✅ “我看到你推了弟弟一下，能告诉我发生了什么吗？你当时想要什么？”,
孩子行为背后，往往藏着未被看见的情绪。帮孩子“命名情绪”，是情绪管理的第一步。❌ “这有什么好哭的！”✅ “你哭得这么伤心，是不是觉得特别委屈？是不是觉得我没听见你要什么？”,
不是“我教你怎么做”，而是“我们一起想办法”。✅ “你不想刷牙，那我们怎么能让牙齿不长蛀虫又不那么无聊？要不要发明一个‘超级英雄刷牙法’？”,
不是“我教你怎么做”，而是“我们一起想办法”。✅ “玩具每次收都好麻烦，你有什么好主意吗？要不要做个‘玩具回家地图’？或者我们比赛收？”,
场景：孩子写作业时突然把笔一扔，说“我不写了！”❌ 普通回应：“不写？不写明天老师问你怎么回答！赶紧写！” ✅ 好奇对话法：“嗯……你把笔扔了，看起来真的很生气。是不是这道题太难了？还是你觉得作业太多了，有点撑不住？”（停顿，等待回应）“那你希望妈妈怎么帮你？是一起看看这道题，还是先休息两分钟？”,
孩子不需要一个立刻解决问题的父母，而需要一个愿意理解他的父母。带着真诚的好奇心去了解孩子的内心世界：他为什么这么做？他需要什么？他感受到了什么？ ,
好奇对话：观察 + 描述。“我注意到……”,
好奇对话：共情 + 提问。“你是不是觉得……？你能告诉我发生了什么吗？”,
好奇对话：合作 + 解决。“我们一起想想办法？”,
语言影响情绪。指责性语言让孩子防御，观察性语言让孩子愿意回应。先描述事实，再表达好奇，孩子更容易打开心扉。❌ “你怎么又不收拾玩具！”✅ “我注意到玩具还在地上，是不是你还没想好收在哪里？还是玩得正起劲不想停？”,
下一次孩子因不能多看动画片而哭时，试试这样说：“你舍不得结束，妈妈知道。我们一起来面对这个难过的感觉，好吗？” 你会发现，一个被理解的孩子，往往比一个被吓住的孩子，更愿意遵守规则。,
要叫孩子的名字，比如“一一”。建议家长和老师叫孩子名字时，最好叫两个字，叫三个字“许一一”可能会让孩子觉得是在被惩罚。叫孩子名字，能让孩子和你对视，这是专注对话的开始。https://mp.weixin.qq.com/s/c-5K6OTNI66KPINb-2Ae7Q,
儿子许一一三岁时，有一天坐车觉得热，爸爸心疼他，就说下车后给他买水枪玩，一一很开心地答应了。但三岁的孩子还不太成熟，一旦答应给他买东西，他就会一直念叨，结果一一每隔三秒就问一次“爸爸，水枪”。爸爸一开始还耐心回应“好，等一下”，后来被问烦了，就生气地让他忍着，还凶了他，一一委屈地哭了起来。https://mp.weixin.qq.com/s/c-5K6OTNI66KPINb-2Ae7Q,
大脑的神经元需要一来一往的互动，才能建立连接。要和孩子建立连接，关键是学会好奇，不要直接给答案、讲道理。不要总问“为什么”，多用“我很好奇”或者“你发生什么事儿了”。,
孩子不说话往往是因为有压力。首要目标是理解孩子，让孩子愿意说话。做到这一步，未来的问题就会慢慢解决，如果我们愿意倾听，孩子内心积累的生气和难过就能被理解，这对孩子的未来很有帮助。所以，不要急于让孩子不玩电脑。https://mp.weixin.qq.com/s/c-5K6OTNI66KPINb-2Ae7Q ,
家长先了解一下，哪些话孩子不想听。比如，不要对孩子说“你怎么不读书”、“你怎么浪费时间”这类话，而要采用提问的方式。提问不是施压、质疑，也不是变相责备，只是单纯地想了解孩子。,
“哭什么！说好只看一集的，再哭明天也不许看了！” → “你很难过是不是？你真的很想再看一集，可是妈妈说时间到了，你觉得不公平，很伤心……（轻轻抱住）是的，停下来确实让人不舒服。妈妈也有时候想多看会儿手机，但也要停下来。我们现在可以一起做点别的事，比如搭积木，或者你来当老师，教妈妈拼恐龙？”(理解“想继续看”的愿望是合理的，情绪被接纳后，孩子更容易平静下来。),
孩子在超市哭着要买玩具，你不买他就闹。错误回应：“不许哭！再哭我就走了！别人看着多丢人！”👉→“你真的很想要那个小汽车，看到它你特别开心，现在不能买，你特别失望，是不是？（点头）妈妈也觉得它很酷。但我们今天来超市是买牛奶和面包的，玩具要等到‘特别的日子’才能买。你可以把它画下来，或者我们拍张照片，周末再一起决定要不要买，好吗？” （让孩子知道“想要”是正常的，不买≠被否定。）,
场景：孩子睡前突然说不要睡觉，还想玩！。“都几点了？再不睡明天起不来！快闭眼！”👉→“嗯，你还不想睡，是因为今天玩得特别开心，舍不得结束，对吗？（轻轻拍拍）妈妈也喜欢和你一起玩，时间过得太快了。不过我们的身体需要休息，就像小花晚上也要合上花瓣睡觉。你可以选两个最喜欢的毛绒玩具陪你睡觉，我们再讲一个短故事，好吗？”(肯定“不想结束”的情感，给予温柔过渡。),
“这都不会？这么大了还让妈妈帮你，快点自己穿！” 👉 → “哎呀，穿鞋有点难是不是？你想自己穿好，但总是穿不好，有点着急了，对吗？（蹲下来）妈妈小时候也这样，着急的时候手都不听使唤。来，我们试试‘小鞋子钻山洞’的游戏？你来指挥，妈妈当小脚丫，你教我怎么穿。”（ 重点：把“不会”理解为“想独立但能力跟不上”，给予支持而非批评。）,
@tinyfool：我的好朋友高老师最近几年在做一件事情，去全世界旅游，拍摄各种名胜古迹的照片，替换wiki上不够清晰不够准确的版本。,
小时候的暑假，早上起来需要先去放牛。露水下的草丛，蚊虫出没，蚊虫都比较脏，经常一堆蚊子跟着，一旁牵着牛绳子的放牛者也就跟着遭殃了。肚子饿，还要防御蚊子的骚扰，只盼望牛那瘪瘪的肚子能快点鼓起来，好早点回家吃早饭。,
“打扰了，请问，您在做什么呢？” “我在收集梦想的碎片。”（《迪士尼乐园清洁工日记》） https://book.douban.com/subject/37445780,
“没有什么工作是真正快乐的”，但所有的工作中都有幸福的瞬间。（《迪士尼乐园清洁工日记》） https://book.douban.com/subject/37445780,
建立“我们在一起面对问题”的合作关系，而非“你不对，我要纠正你”的对立关系。,
关注行为背后的动机与情绪： “你怎么又在玩手机？说了多少次都不听？” →  👉 “我们之前聊过手机使用的时间，现在的情况好像和那时候不太一样。你愿意跟我说说，是什么让你现在更想用手机吗？”,
用好奇代替批判： “你怎么又在玩手机？说了多少次都不听？” →  👉 “我发现你好像很喜欢用手机，是不是里面有些让你特别感兴趣的内容？我想了解你现在的想法。” ,
表达关心而非指责。“你怎么又在玩手机？说了多少次都不听？” → 👉 “我注意到你最近花了不少时间在手机上，我有点担心你的眼睛和休息时间。你现在正在看什么？可以跟我聊聊吗？”,
日本行为科学管理学家石田淳研究发现，孩子拖拉磨蹭的根源是对时间“无感”，同时缺乏时间管理能力。,
建议家长给孩子准备沙漏或闹钟，设定不同的闹钟铃声，用孩子喜欢的音乐当铃声，让孩子逐渐形成对时间的概念；一个计时的小沙漏，可以帮助孩子明确“看见”时间。,
四岁半的孩子晚上磨蹭、不愿意洗漱，是很多家庭都会遇到的常见问题。这个年龄段的孩子开始有自我意识，但自控力和时间观念还在发展中，需要家长用耐心和智慧来引导。,
不要突然打断孩子：“快去刷牙！” 而是提前5-10分钟温和提醒：“还有5分钟就要开始睡前程序啦，我们准备收玩具喽～” 让孩子有心理准备，减少抗拒。,
只要出门，咱们就一定要带一个小书包，里面装上孩子最近最喜欢的书。出门之后，至于看不看，不那么重要。让孩子时时刻刻知道，即使出了门，我后面的小书包里也是有一本最近喜爱的书的。仅仅这样一个暗示，其实就是一个脚手架。按照这样的自我认知和心理暗示，孩子就比较容易养成阅读的习惯。,
教育的真谛，从来不是培养一个听话的孩子，而是帮助他成为更好的自己。,
从今天起，试着每天给孩子一个真诚的拥抱。,
孩子的行为，好的行为通常情况占85%以上，不好的只是15%左右。当我们认为孩子没有可以表扬的优点时，不是孩子的问题，而是我们看待孩子的眼光有问题。,
真正的陪伴是放下手机，关上电脑，让孩子感受到你的注意力完全属于他。https://www.163.com/dy/article/K19FLG3005389Q35.html,
心理学研究发现，当孩子感受到被无条件接纳时，他们更愿意主动分享内心的困惑与快乐。,
