lesson, sentence,sentence2
0,父親：「たかし、自転車の練習、頑張ってる？」子ども：「うん、だいぶ上手に乗れるようになったよ。」, 可能形の辞書形＋ようになる[変化]
0,A：「雨が降ってきたよ。」B：「洗濯物、早く入れないと。」, Vない形＋ないと＝Vない形＋なくちゃ＝ Vない形＋なきゃ＝  Vない形＋ないといけません＝Vない形＋なければなりません
0,学校の友達と離れるのは寂しくなるし、日本のことをよく知らなかったので、不便な生活になると思っていました。,
0,冬になると、ここは雪が積もります。,つもる
0,この部屋に入るときはスリッパを脱いでください。,とき
0,昨日、窓を開けたまま寝てしまった。,~まま
0,A：「今度、映画にでも行きませんか。」B：「来月、引っ越しすることになって、ちょっと忙しくて…。」, するここになる
0,その傘は折れていますから、使えません, 折れる[おれる]
0,大切なノートをなくして困っています。,困る[こまる]
0,お湯が沸いたら、この野菜を入れてください。,沸く[わく]
0,せんせいから うかがいました。, 伺う[うかがう]
0,洗濯が終わると、チャイムで知らせます。,
0,あの人は車を盗みました。,あの人は車を ぬすみました。；盗む[ぬすむ]
0,庭に木を植えます。, 植える[うえる]
0,しらないい人が私の財布を拾ってくれました。, 拾う[ひろう]
0,まだ、仕事が残っていますから、先にに帰ってください。,残る[のこる]
0,最近、手紙を書く人が減りました。,減る[へる]
0,子の名前は珍しいです。,珍しい[めずらしい]
0,窓のガラスをきれいにいします。,窓のガラスを磨きます。
0,正月に国へ帰ります。,正月[しょうがつ]
0,日本の文化が好きです。日本人は礼儀が正しいです。約束を守ります。それで、日本語の勉強を始めました。そして、日本で仕事を探すために、日本に留学しました。,⑦どうして日本に留学しましたか。
0,インターネット会社で働いていました。プロダクトマネージャーとしてアプリやウェブの製品案をデザインしていました。,⑨○○さんは、母国でどんな仕事をしていましたか。
0,牛丼が一番好きです。牛丼はおいしくて安いです。,⑪日本の食べ物で、何が一番好きですか。【第六課】
0,日本語能力を高めて、日本の会社に就職したいです。,⑭今の目標は何ですか。
0,古いお寺が好きです。お寺は建物が独特だし、庭の木がきれいだし、とてもリラックスできます。,⑬日本のどんなところが好きですか。
0,はい、あります。2017年春に妻と行きました。,⑫○○さんは大阪へ行ったことがありますか。【第十三課】
0,大阪城は大きくてきれいです。,⑫○○さんは大阪へ行ったことがありますか。【第十三課】
0,はい、できます。英語での資料が大体読めます。日常会話もできます。中国にいるときに、CET-6という英語の試験に合格しました。この試験は日本の英検準1級レベルです。また、アメリカの投資アドバイザー能力試験に合格しました。この試験も英語で実施されました。,⑩○○さんは英語ができますか。【第九課】
0,印象的なのは、日本人は空港や病院などの公共の場でいつも静かで、きちんとしています。中国人も学ぶべきだと思います。,⑦○○さんは、日本と母国と何が違いますか。【第十四課】
0,はい、慣れました。初めは少し寂しかったですが、今は楽しくなりました。日本料理が好きになりました。,④日本の生活に慣れましたか。【第十一課】
0,よくジョギングをしたり図書館で本を読んだりしています。,週末のこと
0,天気がいい日、時々自転車に乗って、有名な観光地に行ったり、買い物したりします。,③休みの日、よく何をしていますか。【第11課】
0,私は今、渋谷区の本町に住んでいます。私の家の最寄り駅は京王新線の初台駅です。家から駅まで歩いて８分くらいです。でも、毎日歩いて学校まで来ます。,○○さんは今、どこに住んでいますか。○○さんの家の最寄り駅はどちらですか。
0,挑戦は大きいですが、おもしろいです。日本語の漢字と外来語の読み方が少し難しいですから、日本人と話すとき、よくわかりません。でも、日本に来たばかりの時より少し良くなりました。,⑤日本語の勉強はどうですか。
0,試合で負けてしまいました。, 負ける
0,ただ一般的には田舎は「いなか」と読むことがほとんどです。,田舎[いなか]
0,自分のやりたいことができるのは、成功した人生だ。,
0,日本語を勉強しようと思ったきっかけは何ですか。,きっかけ[⓪，]
0,思い出すと涙が出る。, 涙[なみだ，①]
0,少し腫れていますね。レントゲンを取りましょう。,レントゲン[x-ray]；腫れる[はれる]
0,(診察室)医者：どうして早く来なかったんですか。 Aさん：大丈夫だと思ったんです。でも、だんだん痛くなって、冷やしたんですが、まだ痛いんです。,冷やす[ひやす，他動，冷たくする]
0,看護師：では、そちらの待合室で、待ってください。,待合室[まちあいしつ]
0,(病院の受付で)A：すみません、初めてなんですか…。 看護師：保険証はありますか。, 看護師[かんごし]
0,B：ええ、すごくおもしろいですよ。,A：熱心[ねっしん]にテレビを見ていますね。そんなに面白いですか。
0,ピンセット,pincet[镊子]
0,血が出ました。,ちがでました。
0,救急箱[きゅうきゅうばこ],消毒液[しょうどくえき]；がーぜ[纱布]；絆創膏[ばんそうこう，创可贴]；包帯[ほうたい]；綿棒[めんぼう]
0,髪の毛が抜ける。,かみ の け が ぬける。
0,腰が痛い。, こし が いたい。
0,手を洗ってから、ラーメンを食べる。, ～てから
0,足の骨を折る。,あし の ほね を おる。
0,A：田中さん、遅いですね。ここで会うと約束したんですか。 B：ええ、店の入り口で会おうといったんです。, ~んです
0,さっき地震があった。 家が数秒間揺れたのを感じた。,揺れる[ゆれる]
0,2つ目の角を左に曲がってください。,
0,家から山手線で一本です。,
0,精算機,せいさんき
0,文脈から意味を取る。,ぶんみゃく から いみ を とる。
0x,お母さん、行ってきます。,父母是长辈，当面叫通常要用“尊称”。，此处不能用「はは」
0,正月,しょうがつ[说一个月两个月三个月~十二个月的时候是げつ。具体说月亮这个事物时候是つき。说一月二月一直到十二月的时候是がつ。]
0,父は車の運転が上手です。,上手 vs. 得意
0,二日酔い,ふつかよい
0,目覚まし時計,めざましとけい；覚ます
0,補足,ほそく◎
0,日本語学校の先生にお世話になっています。,
0,着物を着かえる。,きものを きかえる。
0,食間 vs. 食事中, 食間[ご飯とご飯の間]
0,初めての孫が生まれた。,初め[名詞 最初] ；初めて [副詞、名詞 一回目] ；始める [動詞]
0,風邪なんです。,N＋な＋んです
0,唇が荒れる。,くちびる が あれる。
0,お見舞いに行く。,おみまい に いく。
0,咳をする。,せき② を する。
0,病気が治る。,びょうき が なおる②。
0,私は学生時代、卒業論文を書くことに力に入れました。,
0,私は今、好きなことをして大きな収入を得ています。,得る[える]
37,私は犬にかまれました。,噛む→噛まれる
n4,遠慮しないで召し上がってください。,召[め]し上がる=食べる<尊敬語>
nhk,日本に住んでいる中国人の団体などは春節のお祝いをするため、４日の夜、東京タワーを赤い光でライトアップしました。,東京タワー；お祝い[おいわい]
n4‐kanji,悪いけど遅れるよ。,悪いけど遅れるよ。
n4‐kanji,すみませんが、遅れます。,すみませんが、遅れます。
n4‐kanji,新しい住所を知らせる。,tell
n4‐kanji,落ちている物を拾う。,おちて いる ものを ひろう。
n4‐kanji,仕事やほしいものを探す。,探す，寻找的事物不一定会存在，也有可能是不存在的。
n4‐kanji,無くしたものや人を捜す。,捜す：寻找的是确实存在的事物，用于寻找丢失的事物时。
n4‐kanji,就職口を探す。,しゅうしょくぐちをさがす。
n4‐kanji,どうしよう。,What should I do?
n4‐kanji,この卵はもういけない。,「いく → いける → 行けない」，表示情景不好， 质量差 ， 禁止做某事等。
n4‐kanji,窓を開けてはいけない,「いく → いける → 行けない」，表示情景不好 ，质量差 ， 禁止做某事等。
n4‐kanji,ずいぶん暖かくなってきた。,「ずいぶん①」，（程度）相当厉害、非常、特别（多用于口语，用于关系亲近的人之间）
n4‐kanji,お湯がわく。,「沸く」
n4‐kanji,お湯を沸かす。,「沸かす」
n4‐kanji,最近ずっと日本語を勉強しています。,「ずっと」
n4‐kanji,今年の冬休みは国に帰らないことにします,Vる/ないことにする
n4‐kanji,来月、アメリカに出張する予定でしたが、行かないことになりました。,Vる/ないことになる
n4‐kanji,私はジョンさんにもらったペンを大切に使っています。,大切に 
nhk,健康のために大人は６時間以上寝たほうがいい。, Vない⁺ほうがいい，had better https://www3.nhk.or.jp/news/easy/k10014294701000/k10014294701000.html
nhk,よく眠ることができなくて、体が十分に休んでいないと感じる人が増えています。, ~と感じる
life,ルームメイトはある日私が日本語で寝言を言っていると言った。,寝言[ねごと]
nhk,大人は6時間以上寝たほうがいいと言っています。しかし、お年寄りには、ベッドや布団の中に8時間以上いないようにしてほしいと言っています。, 年寄り[としより]
n4,あっ、じゃあ、朝食用のパンを買ってきてくれない？,朝食用
n4,普通のトースト用のパンでいい。ああ、 だから、コンビニでもいいよ。,だから
n4,いらっしゃいませ。大変申し訳ありません。ただ今、席がいっぱいでして…。,大変 とても；非常に
n4,あちらの椅子にお座りなってお待ちいただけますか。,お座りなって，「座って」の尊敬語
n4,席が空きましたら、お名前をお呼びします。,おマス形します
n5,トムさんは、なんでも食べられますか。 …いいえ、卵を使った料理は食べることができません。,なんでも anything
n5,僕は元気だけど、弟は体が弱い。,け(れ)ど
n5,あの髪の長い人は誰ですか。,髪の長い人
n5,先週の日曜日は、家で本を読んだり、インターネットをしたりしていました。,～たり、～たりします
n5,日本に来る前に、日本語の勉強をしました。,Vる前に
n5,ご飯を食べたあとで、歯を磨きましょう。,Vたあとで
n4,海賊版サイトは、捕まらないように外国で作る人が多くなっています。,捕まる[つかまる]
n5,あ、そこでチョコレートを買ってから行きましょう。,～から
n5,三番と4番の部屋はちょっと小さいですから、ほかの部屋がいいですね。,ほかの
n5,駅前のパン屋でサンドイッチを買いました。,サンドイッチ
n5,お姉さんがいますか。,[おねえさん]
n5,火事です。外へ出てください。,火事
n5,アナウンスがあったら、みんなで一緒に外へ出ます。,でます
n5,京都へ行く電車は五番線から出ます。階段を上がって、向こうのホームですよ。,上がる；ホーム，platform；きょうと
n5,女の先生の住所はどれですか。,どれ
n5,ジムさん、年賀状をありがとう。でも、ちょっと遅く来ました。,ねんがじょう
n5,住所がちょっと間違っていました。,まちがう
nhk,動物園では、シャンシャンがお母さんと離れて大人になるための準備が進んでいます。,離れる[はなれる]
n5,きれいな景色が見えます。,見える
n5,パクさんの声が聞こえます。,聞こえる
n5,水の音が聞こえます。,音
n5,2つ目の角を左に曲がります。, 角
n5,Ａ：もうお弁当を買いましたか。 Ｂ：いいえ、まだ買っていません。, ていません
n5,Ａ：Ｂさん、ちょっとトイレへ行ってきます。 Ｂ：はい。,～てきる
n5,そのビルの角を右に曲がって、まっすぐ行ってください。,曲がる
n5,窓を開けてもいいですか。,開ける
n5,今から美術館へ行きます。皆さん、このチケットは大切ですから、なくさないでください。,なくす
n5,皆さん、他のお客さんに迷惑ですから、大きい声で話さないでください。,迷惑
n5,窓から手を出さないでください。,出す
n5,Ａ：あのう、トイレへ行ってきてもいいですか。 Ｂ： あ、すみません。今から大切なことを話しますから、ここにいてください。, ～てもいいですか
n5,ここでサルにえさをやることができます。,えさ
n5,入り口でパンフレットをもらうことができます。,
n5,Ａ：暗くなりましたね。 Ｂ：そうですね。そろそろ家へ帰りませんか。,暗い
n5,Ａ：あっ、パンダが木に登っていますよ。 Ｂ：本当だ。かわいいですね。,木に登る
n5,あっ、クマが泳いでいますよ。,クマ
n5,Ａ：のどがかわきました。 Ｂ：あ、あそこでジュースを買うことができますよ。,かわく
