name,continent,capital,tags,fun_fact
亚美尼亚,亚洲,埃里温,高山|修道院|白兰地,有高山和修道院。
阿塞拜疆,亚洲,巴库,石油|火庙|里海,有石油和火庙。
格鲁吉亚,亚洲,第比利斯,葡萄酒|雪山|古城,有葡萄酒和雪山。
土耳其,亚洲,安卡拉,烤肉|热气球|清真寺,有烤肉和热气球。
塞浦路斯,亚洲,尼科西亚,海岛|橄榄|阳光,有海岛和阳光。
俄罗斯,欧洲,莫斯科,红场|芭蕾|伏特加|贝加尔湖,有红场、芭蕾和贝加尔湖。
乌克兰,欧洲,基辅,黑土|向日葵|东正教,有黑土和向日葵。
白俄罗斯,欧洲,明斯克,森林|湖泊|拖拉机,有森林和湖泊。
波兰,欧洲,华沙,肖邦|琥珀|饺子,有肖邦和琥珀。
捷克,欧洲,布拉格,城堡|啤酒|水晶,有城堡和啤酒。
斯洛伐克,欧洲,布拉迪斯拉发,城堡|滑雪|汽车,有城堡和滑雪。
匈牙利,欧洲,布达佩斯,温泉|辣椒|多瑙河,有温泉和多瑙河。
罗马尼亚,欧洲,布加勒斯特,吸血鬼|喀尔巴阡|多瑙河,有吸血鬼传说。
保加利亚,欧洲,索非亚,玫瑰|酸奶|黑海,有玫瑰和酸奶。
塞尔维亚,欧洲,贝尔格莱德,河流|网球|烤肉,有河流和网球。
克罗地亚,欧洲,萨格勒布,海岸|古城|足球,有海岸和古城。
斯洛文尼亚,欧洲,卢布尔雅那,湖泊|城堡|森林,有湖泊和城堡。
波黑,欧洲,萨拉热窝,古城|山脉|咖啡,有古城和山脉。
黑山,欧洲,波德戈里察,海岸|山脉|峡谷,有海岸和峡谷。
北马其顿,欧洲,斯科普里,湖泊|山脉|古城,有湖泊和古城。
阿尔巴尼亚,欧洲,地拉那,海岸|山脉|城堡,有海岸和城堡。
希腊,欧洲,雅典,神庙|海岛|橄榄,有神庙和海岛。
意大利,欧洲,罗马,古罗马|披萨|歌剧|跑车,有古罗马和披萨。
西班牙,欧洲,马德里,斗牛|弗拉门戈|海鲜饭,有斗牛和海鲜饭。
葡萄牙,欧洲,里斯本,航海|蛋挞|足球,有航海和蛋挞。
法国,欧洲,巴黎,埃菲尔|葡萄酒|时尚,有埃菲尔铁塔和葡萄酒。
德国,欧洲,柏林,啤酒|汽车|城堡,有啤酒和汽车。
奥地利,欧洲,维也纳,音乐|雪山|咖啡,有音乐和雪山。
瑞士,欧洲,伯尔尼,钟表|银行|雪山,有钟表和雪山。
列支敦士登,欧洲,瓦杜兹,邮票|城堡|雪山,有邮票和城堡。
比利时,欧洲,布鲁塞尔,巧克力|啤酒|欧盟,有巧克力和啤酒。
荷兰,欧洲,阿姆斯特丹,风车|郁金香|自行车,有风车和郁金香。
卢森堡,欧洲,卢森堡市,城堡|金融|峡谷,有城堡和峡谷。
英国,欧洲,伦敦,大本钟|足球|下午茶,有大本钟和足球。
爱尔兰,欧洲,都柏林,绿岛|酒吧|文学,有绿岛和文学。
丹麦,欧洲,哥本哈根,童话|风车|设计,有童话和风车。
挪威,欧洲,奥斯陆,峡湾|极光|三文鱼,有峡湾和极光。
瑞典,欧洲,斯德哥尔摩,诺贝尔|森林|设计,有诺贝尔和森林。
芬兰,欧洲,赫尔辛基,极光|桑拿|圣诞老人,有极光和圣诞老人。
冰岛,欧洲,雷克雅未克,极光|地热|火山,有极光、地热和火山。
爱沙尼亚,欧洲,塔林,古城|科技|森林,有古城和科技。
拉脱维亚,欧洲,里加,古城|森林|波罗的海,有古城和森林。
立陶宛,欧洲,维尔纽斯,古城|森林|琥珀,有古城和琥珀。
摩尔多瓦,欧洲,基希讷乌,葡萄酒|向日葵|德涅斯特,有葡萄酒和向日葵。
马耳他,欧洲,瓦莱塔,海岛|骑士|阳光,有海岛和骑士。
摩纳哥,欧洲,摩纳哥,赌场|游艇|赛车,有赌场和赛车。
安道尔,欧洲,安道尔城,滑雪|免税|山脉,有滑雪和免税。
圣马力诺,欧洲,圣马力诺,古堡|邮票|山脉,有古堡和邮票。
梵蒂冈,欧洲,梵蒂冈城,教皇|教堂|艺术,有教皇和教堂。
埃及,非洲,开罗,金字塔|尼罗河|法老,有金字塔和尼罗河。
利比亚,非洲,的黎波里,沙漠|石油|古城,有沙漠和石油。
突尼斯,非洲,突尼斯,海滩|橄榄|迦太基,有海滩和迦太基。
阿尔及利亚,非洲,阿尔及尔,撒哈拉|石油|法语,有撒哈拉和石油。
摩洛哥,非洲,拉巴特,撒哈拉|香料|蓝色小镇,有撒哈拉和蓝色小镇。
苏丹,非洲,喀土穆,尼罗河|沙漠|金字塔,有尼罗河和金字塔。
南苏丹,非洲,朱巴,尼罗河|草原|石油,有尼罗河和草原。
埃塞俄比亚,非洲,亚的斯亚贝巴,咖啡|高原|长跑,有咖啡和高原。
厄立特里亚,非洲,阿斯马拉,红海|高原|意大利风,有红海和高原。
吉布提,非洲,吉布提,港口|盐湖|沙漠,有盐湖和港口。
索马里,非洲,摩加迪沙,海岸|骆驼|沙漠,有海岸和骆驼。
肯尼亚,非洲,内罗毕,野生动物|咖啡|长跑,有野生动物和咖啡。
乌干达,非洲,坎帕拉,尼罗河|山地|咖啡,有尼罗河和山地。
坦桑尼亚,非洲,多多马,乞力马扎罗|野生动物|海岛,有乞力马扎罗山。
卢旺达,非洲,基加利,山地|咖啡|清洁,有山地和咖啡。
布隆迪,非洲,布琼布拉,山地|咖啡|鼓,有山地和鼓。
刚果民主共和国,非洲,金沙萨,刚果河|雨林|矿产,有刚果河和雨林。
刚果共和国,非洲,布拉柴维尔,刚果河|雨林|石油,有刚果河和雨林。
中非,非洲,班吉,雨林|钻石|河流,有雨林和钻石。
喀麦隆,非洲,雅温得,火山|足球|雨林,有火山和足球。
乍得,非洲,恩贾梅纳,沙漠|湖泊|石油,有沙漠和湖泊。
尼日尔,非洲,尼亚美,沙漠|铀矿|河流,有沙漠和铀矿。
尼日利亚,非洲,阿布贾,石油|电影|人口,有石油和电影。
贝宁,非洲,波多诺伏,巫毒|海滩|棕榈,有海滩和棕榈。
多哥,非洲,洛美,海滩|磷酸盐|咖啡,有海滩和咖啡。
加纳,非洲,阿克拉,黄金|可可|足球,有黄金和可可。
科特迪瓦,非洲,亚穆苏克罗,可可|咖啡|足球,有可可和咖啡。
利比里亚,非洲,蒙罗维亚,橡胶|铁矿|海岸,有橡胶和铁矿。
塞拉利昂,非洲,弗里敦,钻石|海滩|雨林,有钻石和海滩。
几内亚,非洲,科纳克里,铝土|河流|雨林,有铝土和河流。
几内亚比绍,非洲,比绍,海岛|腰果|河流,有海岛和腰果。
塞内加尔,非洲,达喀尔,足球|花生|海岸,有足球和花生。
冈比亚,非洲,班珠尔,河流|海滩|花生,有河流和花生。
毛里塔尼亚,非洲,努瓦克肖特,沙漠|铁矿|海岸,有沙漠和铁矿。
马里,非洲,巴马科,尼日尔河|音乐|沙漠,有尼日尔河和音乐。
布基纳法索,非洲,瓦加杜古,音乐|棉花|草原,有音乐和棉花。
佛得角,非洲,普拉亚,海岛|音乐|火山,有海岛和音乐。
圣多美和普林西比,非洲,圣多美,海岛|可可|火山,有海岛和可可。
赤道几内亚,非洲,马拉博,石油|海岛|雨林,有石油和海岛。
加蓬,非洲,利伯维尔,雨林|石油|大象,有雨林和大象。
安哥拉,非洲,罗安达,石油|钻石|海岸,有石油和钻石。
赞比亚,非洲,卢萨卡,铜矿|瀑布|野生动物,有铜矿和瀑布。
马拉维,非洲,利隆圭,湖泊|茶叶|烟草,有湖泊和茶叶。
莫桑比克,非洲,马普托,海岸|腰果|岛屿,有海岸和腰果。
津巴布韦,非洲,哈拉雷,瀑布|烟草|石雕,有瀑布和石雕。
博茨瓦纳,非洲,哈博罗内,钻石|沙漠|野生动物,有钻石和沙漠。
纳米比亚,非洲,温得和克,沙漠|钻石|野生动物,有沙漠和钻石。
南非,非洲,比勒陀利亚,钻石|葡萄酒|野生动物,有钻石和野生动物。
莱索托,非洲,马塞卢,山地|滑雪|纺织,有山地和滑雪。
斯威士兰,非洲,姆巴巴内,山地|野生动物|糖,有山地和糖。
马达加斯加,非洲,塔那那利佛,狐猴|香草|岛屿,有狐猴和香草。
毛里求斯,非洲,路易港,海岛|蔗糖|渡渡鸟,有海岛和渡渡鸟。
塞舌尔,非洲,维多利亚,海岛|珊瑚|海龟,有海岛和海龟。
科摩罗,非洲,莫罗尼,海岛|香草|火山,有海岛和香草。
美国,美洲,华盛顿,自由女神|好莱坞|科技|汉堡,有自由女神和好莱坞。
加拿大,美洲,渥太华,枫叶|冰球|雪山,有枫叶和冰球。
墨西哥,美洲,墨西哥城,玉米|金字塔|辣椒,有玉米和金字塔。
危地马拉,美洲,危地马拉城,火山|咖啡|玛雅,有火山和玛雅。
伯利兹,美洲,贝尔莫潘,珊瑚|雨林|玛雅,有珊瑚和玛雅。
萨尔瓦多,美洲,圣萨尔瓦多,火山|咖啡|冲浪,有火山和冲浪。
洪都拉斯,美洲,特古西加尔巴,雨林|咖啡|玛雅,有雨林和玛雅。
尼加拉瓜,美洲,马那瓜,火山|湖泊|咖啡,有火山和湖泊。
哥斯达黎加,美洲,圣何塞,雨林|咖啡|生态,有雨林和生态。
巴拿马,美洲,巴拿马城,运河|雨林|海岛,有运河和雨林。
巴哈马,美洲,拿骚,海岛|珊瑚|游泳猪,有海岛和游泳猪。
古巴,美洲,哈瓦那,雪茄|音乐|老爷车,有雪茄和老爷车。
牙买加,美洲,金斯敦,雷鬼|咖啡|田径,有雷鬼和咖啡。
海地,美洲,太子港,海岛|音乐|贫困,有海岛和音乐。
多米尼加,美洲,圣多明各,海岛|棒球|咖啡,有海岛和棒球。
圣基茨和尼维斯,美洲,巴斯特尔,海岛|蔗糖|火山,有海岛和火山。
安提瓜和巴布达,美洲,圣约翰,海岛|海滩|帆船,有海岛和帆船。
多米尼克,美洲,罗索,海岛|雨林|温泉,有海岛和温泉。
圣卢西亚,美洲,卡斯特里,海岛|火山|雨林,有海岛和火山。
圣文森特和格林纳丁斯,美洲,金斯敦,海岛|火山|帆船,有海岛和火山。
巴巴多斯,美洲,布里奇顿,海岛|朗姆酒|海滩,有海岛和朗姆酒。
格林纳达,美洲,圣乔治,海岛|香料|海滩,有海岛和香料。
特立尼达和多巴哥,美洲,西班牙港,海岛|石油|钢鼓,有海岛和钢鼓。
哥伦比亚,美洲,波哥大,咖啡|鲜花|足球,有咖啡和鲜花。
委内瑞拉,美洲,加拉加斯,石油|瀑布|选美,有石油和瀑布。
圭亚那,美洲,乔治敦,雨林|黄金|河流,有雨林和黄金。
苏里南,美洲,帕拉马里博,雨林|铝土|河流,有雨林和铝土。
巴西,美洲,巴西利亚,足球|桑巴|雨林|咖啡,有足球、桑巴和雨林。
厄瓜多尔,美洲,基多,赤道|火山|香蕉,有赤道和火山。
秘鲁,美洲,利马,马丘比丘|羊驼|土豆,有马丘比丘和羊驼。
玻利维亚,美洲,苏克雷,高原|盐湖|羊驼,有高原和盐湖。
智利,美洲,圣地亚哥,葡萄酒|铜矿|沙漠,有葡萄酒和铜矿。
阿根廷,美洲,布宜诺斯艾利斯,探戈|足球|牛肉,有探戈和足球。
巴拉圭,美洲,亚松森,河流|大豆|足球,有河流和大豆。
乌拉圭,美洲,蒙得维的亚,足球|牛肉|海滩,有足球和牛肉。
澳大利亚,大洋洲,堪培拉,袋鼠|考拉|大堡礁|海滩,有袋鼠、考拉和大堡礁。
新西兰,大洋洲,惠灵顿,绵羊|雪山|橄榄球,有绵羊和雪山。
巴布亚新几内亚,大洋洲,莫尔兹比港,雨林|部落|矿产,有雨林和部落。
斐济,大洋洲,苏瓦,海岛|珊瑚|蔗糖,有海岛和珊瑚。
所罗门群岛,大洋洲,霍尼亚拉,海岛|雨林|珊瑚,有海岛和雨林。
瓦努阿图,大洋洲,维拉港,火山|海岛|潜水,有火山和海岛。
萨摩亚,大洋洲,阿皮亚,海岛|雨林|传统,有海岛和传统。
汤加,大洋洲,努库阿洛法,海岛|火山|鲸鱼,有海岛和鲸鱼。
图瓦卢,大洋洲,富纳富提,海岛|珊瑚|气候,有海岛和珊瑚。
基里巴斯,大洋洲,塔拉瓦,海岛|珊瑚|气候,有海岛和珊瑚。
瑙鲁,大洋洲,亚伦,海岛|磷酸盐|珊瑚,有海岛和磷酸盐。
帕劳,大洋洲,梅莱凯奥克,海岛|珊瑚|潜水,有海岛和潜水。
密克罗尼西亚,大洋洲,帕利基尔,海岛|珊瑚|雨林,有海岛和雨林。
马绍尔群岛,大洋洲,马朱罗,海岛|珊瑚|气候,有海岛和珊瑚。
